retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of provider and non-provider sales by product type,Q2-2017,Personal pensions,Provider,200296
Number of provider and non-provider sales by product type,Q2-2019,Personal pensions,Provider,202084
Number of provider and non-provider sales by product type,Q3-2020,Personal pensions,Provider,145005
Number of provider and non-provider sales by product type,Q3-2017,Personal pensions,Provider,165721
Number of provider and non-provider sales by product type,Q3-2018,Personal pensions,Provider,173236
Number of provider and non-provider sales by product type,Q3-2021,Personal pensions,Provider,180549
Number of provider and non-provider sales by product type,Q3-2019,Personal pensions,Provider,185599
Number of provider and non-provider sales by product type,Q4-2020,Personal pensions,Provider,183516
Number of provider and non-provider sales by product type,Q4-2018,Personal pensions,Provider,195964
Number of provider and non-provider sales by product type,Q4-2019,Personal pensions,Provider,199594
Number of provider and non-provider sales by product type,Q4-2021,Personal pensions,Provider,201366
Number of provider and non-provider sales by product type,Q4-2017,Personal pensions,Provider,208145
Number of provider and non-provider sales by product type,Q1-2021,SCARPs,Non-provider,671
Number of provider and non-provider sales by product type,Q1-2019,SCARPs,Non-provider,1727
Number of provider and non-provider sales by product type,Q1-2020,SCARPs,Non-provider,2029
Number of provider and non-provider sales by product type,Q1-2018,SCARPs,Non-provider,2621
Number of provider and non-provider sales by product type,Q1-2017,SCARPs,Non-provider,4419
Number of provider and non-provider sales by product type,Q2-2021,SCARPs,Non-provider,1
Number of provider and non-provider sales by product type,Q2-2020,SCARPs,Non-provider,1371
Number of provider and non-provider sales by product type,Q2-2018,SCARPs,Non-provider,1704
Number of provider and non-provider sales by product type,Q2-2019,SCARPs,Non-provider,1963
Number of provider and non-provider sales by product type,Q2-2017,SCARPs,Non-provider,4303
Number of provider and non-provider sales by product type,Q3-2020,SCARPs,Non-provider,744
Number of provider and non-provider sales by product type,Q3-2019,SCARPs,Non-provider,1248
Number of provider and non-provider sales by product type,Q3-2018,SCARPs,Non-provider,2133
Number of provider and non-provider sales by product type,Q3-2017,SCARPs,Non-provider,4052
Number of provider and non-provider sales by product type,Q4-2020,SCARPs,Non-provider,1131
Number of provider and non-provider sales by product type,Q4-2018,SCARPs,Non-provider,1940
Number of provider and non-provider sales by product type,Q4-2017,SCARPs,Non-provider,2729
Number of provider and non-provider sales by product type,Q4-2019,SCARPs,Non-provider,3137
Number of provider and non-provider sales by product type,Q1-2021,SCARPs,Provider,939
Number of provider and non-provider sales by product type,Q1-2019,SCARPs,Provider,1186
Number of provider and non-provider sales by product type,Q1-2017,SCARPs,Provider,1730
Number of provider and non-provider sales by product type,Q1-2020,SCARPs,Provider,1750
Number of provider and non-provider sales by product type,Q1-2018,SCARPs,Provider,2593
Number of provider and non-provider sales by product type,Q2-2021,SCARPs,Provider,727
Number of provider and non-provider sales by product type,Q2-2020,SCARPs,Provider,899
Number of provider and non-provider sales by product type,Q2-2017,SCARPs,Provider,1441
Number of provider and non-provider sales by product type,Q2-2018,SCARPs,Provider,1670
Number of provider and non-provider sales by product type,Q2-2019,SCARPs,Provider,1721
Number of provider and non-provider sales by product type,Q3-2020,SCARPs,Provider,871
Number of provider and non-provider sales by product type,Q3-2021,SCARPs,Provider,910
Number of provider and non-provider sales by product type,Q3-2018,SCARPs,Provider,979
Number of provider and non-provider sales by product type,Q3-2019,SCARPs,Provider,1269
Number of provider and non-provider sales by product type,Q3-2017,SCARPs,Provider,1344
Number of provider and non-provider sales by product type,Q4-2019,SCARPs,Provider,226
Number of provider and non-provider sales by product type,Q4-2020,SCARPs,Provider,861
Number of provider and non-provider sales by product type,Q4-2021,SCARPs,Provider,977
Number of provider and non-provider sales by product type,Q4-2018,SCARPs,Provider,1281
Number of provider and non-provider sales by product type,Q4-2017,SCARPs,Provider,1491
Number of provider and non-provider sales by product type,Q1-2019,Trusts and OEICs,Non-provider,5466
Number of provider and non-provider sales by product type,Q1-2020,Trusts and OEICs,Non-provider,6392
Number of provider and non-provider sales by product type,Q1-2018,Trusts and OEICs,Non-provider,6712
Number of provider and non-provider sales by product type,Q1-2021,Trusts and OEICs,Non-provider,7208
Number of provider and non-provider sales by product type,Q1-2017,Trusts and OEICs,Non-provider,9216
Number of provider and non-provider sales by product type,Q2-2020,Trusts and OEICs,Non-provider,3804
Number of provider and non-provider sales by product type,Q2-2019,Trusts and OEICs,Non-provider,4459
Number of provider and non-provider sales by product type,Q2-2018,Trusts and OEICs,Non-provider,5554
Number of provider and non-provider sales by product type,Q2-2021,Trusts and OEICs,Non-provider,5971
Number of provider and non-provider sales by product type,Q2-2017,Trusts and OEICs,Non-provider,7039
Number of provider and non-provider sales by product type,Q3-2020,Trusts and OEICs,Non-provider,3566
Number of provider and non-provider sales by product type,Q3-2019,Trusts and OEICs,Non-provider,4739
Number of provider and non-provider sales by product type,Q3-2018,Trusts and OEICs,Non-provider,5547
Number of provider and non-provider sales by product type,Q3-2021,Trusts and OEICs,Non-provider,7060
Number of provider and non-provider sales by product type,Q3-2017,Trusts and OEICs,Non-provider,7138
Number of provider and non-provider sales by product type,Q4-2020,Trusts and OEICs,Non-provider,5283
Number of provider and non-provider sales by product type,Q4-2019,Trusts and OEICs,Non-provider,5378
Number of provider and non-provider sales by product type,Q4-2018,Trusts and OEICs,Non-provider,6027
Number of provider and non-provider sales by product type,Q4-2017,Trusts and OEICs,Non-provider,7606
Number of provider and non-provider sales by product type,Q4-2021,Trusts and OEICs,Non-provider,7828
Number of provider and non-provider sales by product type,Q1-2019,Trusts and OEICs,Provider,39452
Number of provider and non-provider sales by product type,Q1-2020,Trusts and OEICs,Provider,44271
Number of provider and non-provider sales by product type,Q1-2018,Trusts and OEICs,Provider,45897
Number of provider and non-provider sales by product type,Q1-2017,Trusts and OEICs,Provider,48794
Number of provider and non-provider sales by product type,Q1-2021,Trusts and OEICs,Provider,49204
Number of provider and non-provider sales by product type,Q2-2020,Trusts and OEICs,Provider,41156
Number of provider and non-provider sales by product type,Q2-2019,Trusts and OEICs,Provider,43969
Number of provider and non-provider sales by product type,Q2-2018,Trusts and OEICs,Provider,46244
Number of provider and non-provider sales by product type,Q2-2017,Trusts and OEICs,Provider,47434
Number of provider and non-provider sales by product type,Q2-2021,Trusts and OEICs,Provider,102813
Number of provider and non-provider sales by product type,Q3-2020,Trusts and OEICs,Provider,38758
Number of provider and non-provider sales by product type,Q3-2019,Trusts and OEICs,Provider,41051
Number of provider and non-provider sales by product type,Q3-2018,Trusts and OEICs,Provider,43654
Number of provider and non-provider sales by product type,Q3-2017,Trusts and OEICs,Provider,44125
Number of provider and non-provider sales by product type,Q3-2021,Trusts and OEICs,Provider,49141
Number of provider and non-provider sales by product type,Q4-2019,Trusts and OEICs,Provider,42816
Number of provider and non-provider sales by product type,Q4-2020,Trusts and OEICs,Provider,44017
Number of provider and non-provider sales by product type,Q4-2018,Trusts and OEICs,Provider,44611
Number of provider and non-provider sales by product type,Q4-2017,Trusts and OEICs,Provider,48165
Number of provider and non-provider sales by product type,Q4-2021,Trusts and OEICs,Provider,50537
Number of sales by sector,Q1-2018,Investment Management,Null,130301
Number of sales by sector,Q1-2017,Investment Management,Null,142145
Number of sales by sector,Q1-2019,Investment Management,Null,158646
Number of sales by sector,Q1-2020,Investment Management,Null,182977
Number of sales by sector,Q1-2021,Investment Management,Null,247143
Number of sales by sector,Q2-2017,Investment Management,Null,150872
Number of sales by sector,Q2-2019,Investment Management,Null,178190
Number of sales by sector,Q2-2020,Investment Management,Null,181117
Number of sales by sector,Q2-2018,Investment Management,Null,204006
Number of sales by sector,Q2-2021,Investment Management,Null,284287
Number of sales by sector,Q3-2017,Investment Management,Null,137458
Number of sales by sector,Q3-2020,Investment Management,Null,141564
Number of sales by sector,Q3-2019,Investment Management,Null,153121
Number of sales by sector,Q3-2018,Investment Management,Null,157336
Number of sales by sector,Q3-2021,Investment Management,Null,237341
Number of sales by sector,Q4-2017,Investment Management,Null,150406
Number of sales by sector,Q4-2019,Investment Management,Null,166184
Number of sales by sector,Q4-2018,Investment Management,Null,177674
Number of sales by sector,Q4-2020,Investment Management,Null,195400
Number of sales by sector,Q4-2021,Investment Management,Null,246958
Number of sales by sector,Q1-2019,Pensions & Retirement Income,Null,461992
Number of sales by sector,Q1-2020,Pensions & Retirement Income,Null,491705
Number of sales by sector,Q1-2021,Pensions & Retirement Income,Null,512193
Number of sales by sector,Q1-2018,Pensions & Retirement Income,Null,518288
Number of sales by sector,Q1-2017,Pensions & Retirement Income,Null,557333
Number of sales by sector,Q2-2020,Pensions & Retirement Income,Null,366171
Number of sales by sector,Q2-2021,Pensions & Retirement Income,Null,374413
Number of sales by sector,Q2-2018,Pensions & Retirement Income,Null,496430
Number of sales by sector,Q2-2019,Pensions & Retirement Income,Null,501258
Number of sales by sector,Q2-2017,Pensions & Retirement Income,Null,585341
Number of sales by sector,Q3-2020,Pensions & Retirement Income,Null,327775
Number of sales by sector,Q3-2021,Pensions & Retirement Income,Null,398950
Number of sales by sector,Q3-2019,Pensions & Retirement Income,Null,489641
Number of sales by sector,Q3-2018,Pensions & Retirement Income,Null,510370
Number of sales by sector,Q3-2017,Pensions & Retirement Income,Null,579706
Number of sales by sector,Q4-2020,Pensions & Retirement Income,Null,408364
Number of sales by sector,Q4-2021,Pensions & Retirement Income,Null,454437
Number of sales by sector,Q4-2019,Pensions & Retirement Income,Null,500747
Number of sales by sector,Q4-2018,Pensions & Retirement Income,Null,512122
Number of sales by sector,Q4-2017,Pensions & Retirement Income,Null,573503
Number of sales by sector,Q1-2020,Retail Banking,Null,3121
Number of sales by sector,Q1-2019,Retail Banking,Null,3837
Number of sales by sector,Q1-2017,Retail Banking,Null,8061
Number of sales by sector,Q1-2018,Retail Banking,Null,8164
Number of sales by sector,Q1-2021,Retail Banking,Null,13910
Number of sales by sector,Q2-2020,Retail Banking,Null,2279
Number of sales by sector,Q2-2019,Retail Banking,Null,3346
Number of sales by sector,Q2-2021,Retail Banking,Null,4749
Number of sales by sector,Q2-2018,Retail Banking,Null,6541
Number of sales by sector,Q2-2017,Retail Banking,Null,8006
Number of sales by sector,Q3-2019,Retail Banking,Null,4119
Number of sales by sector,Q3-2017,Retail Banking,Null,6133
Number of sales by sector,Q3-2018,Retail Banking,Null,6241
Number of sales by sector,Q3-2021,Retail Banking,Null,7302
Number of sales by sector,Q3-2020,Retail Banking,Null,7870
Number of sales by sector,Q4-2019,Retail Banking,Null,1865
Number of sales by sector,Q4-2018,Retail Banking,Null,4304
Number of sales by sector,Q4-2021,Retail Banking,Null,4640
Number of sales by sector,Q4-2017,Retail Banking,Null,4844
Number of sales by sector,Q4-2020,Retail Banking,Null,7201
Number of sales by sector,Q1-2019,Retail Investments,Null,119524
Number of sales by sector,Q1-2017,Retail Investments,Null,122674
Number of sales by sector,Q1-2018,Retail Investments,Null,131746
Number of sales by sector,Q1-2020,Retail Investments,Null,147764
Number of sales by sector,Q1-2021,Retail Investments,Null,346034
Number of sales by sector,Q2-2017,Retail Investments,Null,122690
Number of sales by sector,Q2-2019,Retail Investments,Null,126551
Number of sales by sector,Q2-2020,Retail Investments,Null,137236
Number of sales by sector,Q2-2018,Retail Investments,Null,157765
Number of sales by sector,Q2-2021,Retail Investments,Null,188814
Number of sales by sector,Q3-2017,Retail Investments,Null,115653
Number of sales by sector,Q3-2018,Retail Investments,Null,129845
Number of sales by sector,Q3-2019,Retail Investments,Null,133088
Number of sales by sector,Q3-2020,Retail Investments,Null,139256
Number of sales by sector,Q3-2021,Retail Investments,Null,170935
Number of sales by sector,Q4-2018,Retail Investments,Null,131659
Number of sales by sector,Q4-2017,Retail Investments,Null,157809
Number of sales by sector,Q4-2019,Retail Investments,Null,164664
Number of sales by sector,Q4-2020,Retail Investments,Null,172806
Number of sales by sector,Q4-2021,Retail Investments,Null,180644
Number of sales by sector,Q1-2019,Wholesale Financial Markets,Null,3732
Number of sales by sector,Q1-2021,Wholesale Financial Markets,Null,5643
Number of sales by sector,Q1-2018,Wholesale Financial Markets,Null,6273
Number of sales by sector,Q1-2020,Wholesale Financial Markets,Null,6544
Number of sales by sector,Q1-2017,Wholesale Financial Markets,Null,7300
Number of sales by sector,Q2-2018,Wholesale Financial Markets,Null,4488
Number of sales by sector,Q2-2020,Wholesale Financial Markets,Null,4913
Number of sales by sector,Q2-2021,Wholesale Financial Markets,Null,4948
Number of sales by sector,Q2-2019,Wholesale Financial Markets,Null,5834
Number of sales by sector,Q2-2017,Wholesale Financial Markets,Null,6693
Number of sales by sector,Q3-2018,Wholesale Financial Markets,Null,3077
Number of sales by sector,Q3-2021,Wholesale Financial Markets,Null,3832
Number of sales by sector,Q3-2020,Wholesale Financial Markets,Null,4475
Number of sales by sector,Q3-2019,Wholesale Financial Markets,Null,4700
Number of sales by sector,Q3-2017,Wholesale Financial Markets,Null,6014
Number of sales by sector,Q4-2021,Wholesale Financial Markets,Null,3169
Number of sales by sector,Q4-2018,Wholesale Financial Markets,Null,3468
Number of sales by sector,Q4-2017,Wholesale Financial Markets,Null,4826
Number of sales by sector,Q4-2020,Wholesale Financial Markets,Null,5077
Number of sales by sector,Q4-2019,Wholesale Financial Markets,Null,5552
Number of sales by sector,Q1-2021,Other Portfolio Sector,Null,1174
Number of sales by sector,Q1-2018,Other Portfolio Sector,Null,1818
Number of sales by sector,Q1-2020,Other Portfolio Sector,Null,1832
Number of sales by sector,Q1-2019,Other Portfolio Sector,Null,2051
Number of sales by sector,Q1-2017,Other Portfolio Sector,Null,3100
Number of sales by sector,Q2-2020,Other Portfolio Sector,Null,914
Number of sales by sector,Q2-2021,Other Portfolio Sector,Null,1210
Number of sales by sector,Q2-2017,Other Portfolio Sector,Null,2465
Number of sales by sector,Q2-2019,Other Portfolio Sector,Null,2934
Number of sales by sector,Q2-2018,Other Portfolio Sector,Null,5184
Number of sales by sector,Q3-2020,Other Portfolio Sector,Null,1139
Number of sales by sector,Q3-2019,Other Portfolio Sector,Null,1478
Number of sales by sector,Q3-2021,Other Portfolio Sector,Null,1920
Number of sales by sector,Q3-2017,Other Portfolio Sector,Null,2187
Number of sales by sector,Q3-2018,Other Portfolio Sector,Null,2309
Number of sales by sector,Q4-2020,Other Portfolio Sector,Null,901
Number of sales by sector,Q4-2018,Other Portfolio Sector,Null,1583
Number of sales by sector,Q4-2019,Other Portfolio Sector,Null,1605
Number of sales by sector,Q4-2017,Other Portfolio Sector,Null,1835
Number of sales by sector,Q4-2021,Other Portfolio Sector,Null,1880
Number of advised and non-advised sales by sector,Q1-2019,Investment Management,Advised sale,783
Number of advised and non-advised sales by sector,Q1-2018,Investment Management,Advised sale,882
Number of advised and non-advised sales by sector,Q1-2017,Investment Management,Advised sale,1071
Number of advised and non-advised sales by sector,Q1-2020,Investment Management,Advised sale,1114
Number of advised and non-advised sales by sector,Q1-2021,Investment Management,Advised sale,1568
Number of advised and non-advised sales by sector,Q2-2018,Investment Management,Advised sale,679
Number of advised and non-advised sales by sector,Q2-2021,Investment Management,Advised sale,824
Number of advised and non-advised sales by sector,Q2-2019,Investment Management,Advised sale,1072
Number of advised and non-advised sales by sector,Q2-2020,Investment Management,Advised sale,1149
Number of advised and non-advised sales by sector,Q2-2017,Investment Management,Advised sale,1267
Number of advised and non-advised sales by sector,Q3-2018,Investment Management,Advised sale,618
Number of advised and non-advised sales by sector,Q3-2019,Investment Management,Advised sale,817
Number of advised and non-advised sales by sector,Q3-2021,Investment Management,Advised sale,822
Number of advised and non-advised sales by sector,Q3-2020,Investment Management,Advised sale,999
Number of advised and non-advised sales by sector,Q3-2017,Investment Management,Advised sale,1155
Number of advised and non-advised sales by sector,Q4-2018,Investment Management,Advised sale,721
Number of advised and non-advised sales by sector,Q4-2021,Investment Management,Advised sale,824
Number of advised and non-advised sales by sector,Q4-2019,Investment Management,Advised sale,981
Number of advised and non-advised sales by sector,Q4-2017,Investment Management,Advised sale,1082
Number of advised and non-advised sales by sector,Q4-2020,Investment Management,Advised sale,1522
Number of advised and non-advised sales by sector,Q1-2017,Investment Management,Non advised sale,62630
Number of advised and non-advised sales by sector,Q1-2018,Investment Management,Non advised sale,66262
Number of advised and non-advised sales by sector,Q1-2019,Investment Management,Non advised sale,66424
Number of advised and non-advised sales by sector,Q1-2020,Investment Management,Non advised sale,88784
Number of advised and non-advised sales by sector,Q1-2021,Investment Management,Non advised sale,164062
Number of advised and non-advised sales by sector,Q2-2017,Investment Management,Non advised sale,66028
Number of advised and non-advised sales by sector,Q2-2018,Investment Management,Non advised sale,68694
Number of advised and non-advised sales by sector,Q2-2019,Investment Management,Non advised sale,76621
Number of advised and non-advised sales by sector,Q2-2020,Investment Management,Non advised sale,86122
Number of advised and non-advised sales by sector,Q2-2021,Investment Management,Non advised sale,212613
Number of advised and non-advised sales by sector,Q3-2017,Investment Management,Non advised sale,59925
Number of advised and non-advised sales by sector,Q3-2019,Investment Management,Non advised sale,68710
Number of advised and non-advised sales by sector,Q3-2018,Investment Management,Non advised sale,72229
Number of advised and non-advised sales by sector,Q3-2020,Investment Management,Non advised sale,80185
Number of advised and non-advised sales by sector,Q3-2021,Investment Management,Non advised sale,154617
Number of advised and non-advised sales by sector,Q4-2017,Investment Management,Non advised sale,65987
Number of advised and non-advised sales by sector,Q4-2018,Investment Management,Non advised sale,70979
Number of advised and non-advised sales by sector,Q4-2019,Investment Management,Non advised sale,71444
Number of advised and non-advised sales by sector,Q4-2020,Investment Management,Non advised sale,108730
Number of advised and non-advised sales by sector,Q4-2021,Investment Management,Non advised sale,146315
Number of advised and non-advised sales by sector,Q1-2021,Other Portfolio Sector,Advised sale,19957
Number of advised and non-advised sales by sector,Q1-2019,Other Portfolio Sector,Advised sale,21134
Number of advised and non-advised sales by sector,Q1-2018,Other Portfolio Sector,Advised sale,22034
Number of advised and non-advised sales by sector,Q1-2020,Other Portfolio Sector,Advised sale,23101
Number of advised and non-advised sales by sector,Q1-2017,Other Portfolio Sector,Advised sale,28191
Number of advised and non-advised sales by sector,Q2-2021,Other Portfolio Sector,Advised sale,15243
Number of advised and non-advised sales by sector,Q2-2020,Other Portfolio Sector,Advised sale,18423
Number of advised and non-advised sales by sector,Q2-2019,Other Portfolio Sector,Advised sale,23023
Number of advised and non-advised sales by sector,Q2-2018,Other Portfolio Sector,Advised sale,23405
Number of advised and non-advised sales by sector,Q2-2017,Other Portfolio Sector,Advised sale,24482
Number of advised and non-advised sales by sector,Q3-2020,Other Portfolio Sector,Advised sale,15757
Number of advised and non-advised sales by sector,Q3-2021,Other Portfolio Sector,Advised sale,15928
Number of advised and non-advised sales by sector,Q3-2019,Other Portfolio Sector,Advised sale,20147
Number of advised and non-advised sales by sector,Q3-2018,Other Portfolio Sector,Advised sale,22876
Number of advised and non-advised sales by sector,Q3-2017,Other Portfolio Sector,Advised sale,24641
Number of advised and non-advised sales by sector,Q4-2021,Other Portfolio Sector,Advised sale,17010
Number of advised and non-advised sales by sector,Q4-2020,Other Portfolio Sector,Advised sale,18712
Number of advised and non-advised sales by sector,Q4-2019,Other Portfolio Sector,Advised sale,22766
Number of advised and non-advised sales by sector,Q4-2018,Other Portfolio Sector,Advised sale,23194
Number of advised and non-advised sales by sector,Q4-2017,Other Portfolio Sector,Advised sale,23619
Number of advised and non-advised sales by sector,Q1-2018,Other Portfolio Sector,Non advised sale,19592
Number of advised and non-advised sales by sector,Q1-2019,Other Portfolio Sector,Non advised sale,22193
Number of advised and non-advised sales by sector,Q1-2017,Other Portfolio Sector,Non advised sale,27079
Number of advised and non-advised sales by sector,Q1-2020,Other Portfolio Sector,Non advised sale,38073
Number of advised and non-advised sales by sector,Q1-2021,Other Portfolio Sector,Non advised sale,131347
Number of advised and non-advised sales by sector,Q2-2021,Other Portfolio Sector,Non advised sale,25324
Number of advised and non-advised sales by sector,Q2-2018,Other Portfolio Sector,Non advised sale,25868
Number of advised and non-advised sales by sector,Q2-2019,Other Portfolio Sector,Non advised sale,27200
Number of advised and non-advised sales by sector,Q2-2017,Other Portfolio Sector,Non advised sale,27387
Number of advised and non-advised sales by sector,Q2-2020,Other Portfolio Sector,Non advised sale,33102
Number of advised and non-advised sales by sector,Q3-2018,Other Portfolio Sector,Non advised sale,20132
Number of advised and non-advised sales by sector,Q3-2017,Other Portfolio Sector,Non advised sale,23558
Number of advised and non-advised sales by sector,Q3-2019,Other Portfolio Sector,Non advised sale,27119
Number of advised and non-advised sales by sector,Q3-2021,Other Portfolio Sector,Non advised sale,28104
Number of advised and non-advised sales by sector,Q3-2020,Other Portfolio Sector,Non advised sale,33197
Number of advised and non-advised sales by sector,Q4-2017,Other Portfolio Sector,Non advised sale,21625
Number of advised and non-advised sales by sector,Q4-2018,Other Portfolio Sector,Non advised sale,21984
Number of advised and non-advised sales by sector,Q4-2020,Other Portfolio Sector,Non advised sale,34305
Number of advised and non-advised sales by sector,Q4-2019,Other Portfolio Sector,Non advised sale,34307
Number of advised and non-advised sales by sector,Q4-2021,Other Portfolio Sector,Non advised sale,35766
Number of advised and non-advised sales by sector,Q1-2020,Pensions & Retirement Income,Advised sale,6568
Number of advised and non-advised sales by sector,Q1-2019,Pensions & Retirement Income,Advised sale,6711
Number of advised and non-advised sales by sector,Q1-2018,Pensions & Retirement Income,Advised sale,6763
Number of advised and non-advised sales by sector,Q1-2017,Pensions & Retirement Income,Advised sale,9327
Number of advised and non-advised sales by sector,Q1-2021,Pensions & Retirement Income,Advised sale,11397
Number of advised and non-advised sales by sector,Q2-2020,Pensions & Retirement Income,Advised sale,4234
Number of advised and non-advised sales by sector,Q2-2018,Pensions & Retirement Income,Advised sale,6806
Number of advised and non-advised sales by sector,Q2-2019,Pensions & Retirement Income,Advised sale,7277
Number of advised and non-advised sales by sector,Q2-2017,Pensions & Retirement Income,Advised sale,7552
Number of advised and non-advised sales by sector,Q2-2021,Pensions & Retirement Income,Advised sale,13097
Number of advised and non-advised sales by sector,Q3-2020,Pensions & Retirement Income,Advised sale,5447
Number of advised and non-advised sales by sector,Q3-2017,Pensions & Retirement Income,Advised sale,5999
Number of advised and non-advised sales by sector,Q3-2019,Pensions & Retirement Income,Advised sale,6098
Number of advised and non-advised sales by sector,Q3-2018,Pensions & Retirement Income,Advised sale,8045
Number of advised and non-advised sales by sector,Q3-2021,Pensions & Retirement Income,Advised sale,14242
Number of advised and non-advised sales by sector,Q4-2018,Pensions & Retirement Income,Advised sale,6395
Number of advised and non-advised sales by sector,Q4-2019,Pensions & Retirement Income,Advised sale,6504
Number of advised and non-advised sales by sector,Q4-2017,Pensions & Retirement Income,Advised sale,7414
Number of advised and non-advised sales by sector,Q4-2021,Pensions & Retirement Income,Advised sale,12720
Number of advised and non-advised sales by sector,Q4-2020,Pensions & Retirement Income,Advised sale,22478
Number of advised and non-advised sales by sector,Q1-2019,Pensions & Retirement Income,Non advised sale,167697
Number of advised and non-advised sales by sector,Q1-2018,Pensions & Retirement Income,Non advised sale,173047
Number of advised and non-advised sales by sector,Q1-2021,Pensions & Retirement Income,Non advised sale,176291
Number of advised and non-advised sales by sector,Q1-2020,Pensions & Retirement Income,Non advised sale,177614
Number of advised and non-advised sales by sector,Q1-2017,Pensions & Retirement Income,Non advised sale,223874
Number of advised and non-advised sales by sector,Q2-2021,Pensions & Retirement Income,Non advised sale,156213
Number of advised and non-advised sales by sector,Q2-2020,Pensions & Retirement Income,Non advised sale,156869
Number of advised and non-advised sales by sector,Q2-2019,Pensions & Retirement Income,Non advised sale,214532
Number of advised and non-advised sales by sector,Q2-2018,Pensions & Retirement Income,Non advised sale,226027
Number of advised and non-advised sales by sector,Q2-2017,Pensions & Retirement Income,Non advised sale,229432
Number of advised and non-advised sales by sector,Q3-2020,Pensions & Retirement Income,Non advised sale,137158
Number of advised and non-advised sales by sector,Q3-2021,Pensions & Retirement Income,Non advised sale,161604
Number of advised and non-advised sales by sector,Q3-2019,Pensions & Retirement Income,Non advised sale,188136
Number of advised and non-advised sales by sector,Q3-2018,Pensions & Retirement Income,Non advised sale,218108
Number of advised and non-advised sales by sector,Q3-2017,Pensions & Retirement Income,Non advised sale,225065
Number of advised and non-advised sales by sector,Q4-2020,Pensions & Retirement Income,Non advised sale,163563
Number of advised and non-advised sales by sector,Q4-2021,Pensions & Retirement Income,Non advised sale,182544
Number of advised and non-advised sales by sector,Q4-2019,Pensions & Retirement Income,Non advised sale,190210
Number of advised and non-advised sales by sector,Q4-2018,Pensions & Retirement Income,Non advised sale,209086
Number of advised and non-advised sales by sector,Q4-2017,Pensions & Retirement Income,Non advised sale,227803
Number of advised and non-advised sales by sector,Q1-2020,Retail Banking,Advised sale,760
Number of advised and non-advised sales by sector,Q1-2021,Retail Banking,Advised sale,769
Number of advised and non-advised sales by sector,Q1-2019,Retail Banking,Advised sale,1679
Number of advised and non-advised sales by sector,Q1-2018,Retail Banking,Advised sale,3841
Number of advised and non-advised sales by sector,Q1-2017,Retail Banking,Advised sale,4870
Number of advised and non-advised sales by sector,Q2-2020,Retail Banking,Advised sale,295
Number of advised and non-advised sales by sector,Q2-2021,Retail Banking,Advised sale,449
Number of advised and non-advised sales by sector,Q2-2019,Retail Banking,Advised sale,1378
Number of advised and non-advised sales by sector,Q2-2018,Retail Banking,Advised sale,2533
Number of advised and non-advised sales by sector,Q2-2017,Retail Banking,Advised sale,3496
Number of advised and non-advised sales by sector,Q3-2020,Retail Banking,Advised sale,228
Number of advised and non-advised sales by sector,Q3-2021,Retail Banking,Advised sale,600
Number of advised and non-advised sales by sector,Q3-2019,Retail Banking,Advised sale,835
Number of advised and non-advised sales by sector,Q3-2018,Retail Banking,Advised sale,3219
Number of advised and non-advised sales by sector,Q3-2017,Retail Banking,Advised sale,3250
Number of advised and non-advised sales by sector,Q4-2021,Retail Banking,Advised sale,497
Number of advised and non-advised sales by sector,Q4-2020,Retail Banking,Advised sale,517
Number of advised and non-advised sales by sector,Q4-2019,Retail Banking,Advised sale,585
Number of advised and non-advised sales by sector,Q4-2018,Retail Banking,Advised sale,2226
Number of advised and non-advised sales by sector,Q4-2017,Retail Banking,Advised sale,2343
Number of advised and non-advised sales by sector,Q1-2020,Retail Banking,Non advised sale,2672
Number of advised and non-advised sales by sector,Q1-2019,Retail Banking,Non advised sale,2720
Number of advised and non-advised sales by sector,Q1-2017,Retail Banking,Non advised sale,3424
Number of advised and non-advised sales by sector,Q1-2018,Retail Banking,Non advised sale,4268
Number of advised and non-advised sales by sector,Q1-2021,Retail Banking,Non advised sale,13838
Number of advised and non-advised sales by sector,Q2-2020,Retail Banking,Non advised sale,2219
Number of advised and non-advised sales by sector,Q2-2019,Retail Banking,Non advised sale,2795
Number of advised and non-advised sales by sector,Q2-2018,Retail Banking,Non advised sale,4471
Number of advised and non-advised sales by sector,Q2-2017,Retail Banking,Non advised sale,4724
Number of advised and non-advised sales by sector,Q2-2021,Retail Banking,Non advised sale,9161
Number of advised and non-advised sales by sector,Q3-2017,Retail Banking,Non advised sale,2884
Number of advised and non-advised sales by sector,Q3-2019,Retail Banking,Non advised sale,3405
Number of advised and non-advised sales by sector,Q3-2018,Retail Banking,Non advised sale,3768
Number of advised and non-advised sales by sector,Q3-2020,Retail Banking,Non advised sale,7863
Number of advised and non-advised sales by sector,Q3-2021,Retail Banking,Non advised sale,12473
Number of advised and non-advised sales by sector,Q4-2019,Retail Banking,Non advised sale,1382
Number of advised and non-advised sales by sector,Q4-2017,Retail Banking,Non advised sale,2766
Number of advised and non-advised sales by sector,Q4-2018,Retail Banking,Non advised sale,2915
Number of advised and non-advised sales by sector,Q4-2020,Retail Banking,Non advised sale,7183
Number of advised and non-advised sales by sector,Q4-2021,Retail Banking,Non advised sale,8338
Number of advised and non-advised sales by sector,Q1-2017,Retail Investments,Advised sale,280159
Number of advised and non-advised sales by sector,Q1-2020,Retail Investments,Advised sale,289885
Number of advised and non-advised sales by sector,Q1-2019,Retail Investments,Advised sale,300665
